filename,target,split
real_00000,0,train
real_00001,0,train
real_00002,0,train
real_00003,0,train
real_00004,0,test
real_00005,0,train
real_00006,0,train
real_00007,0,train
real_00010,0,train
real_00012,0,train
real_00013,0,test
real_00014,0,train
real_00015,0,train
real_00016,0,train
real_00017,0,test
real_00018,0,train
real_00019,0,train
real_00020,0,train
real_00021,0,test
real_00023,0,train
real_00024,0,train
real_00025,0,train
real_00026,0,train
real_00027,0,train
real_00028,0,test
real_00029,0,train
real_00030,0,train
real_00031,0,train
real_00032,0,test
real_00034,0,train
real_00036,0,train
real_00037,0,train
real_00038,0,train
real_00039,0,train
real_00041,0,train
real_00042,0,train
real_00043,0,train
real_00044,0,test
real_00047,0,train
real_00048,0,train
real_00049,0,train
real_00050,0,test
real_00051,0,train
real_00052,0,train
real_00053,0,train
real_00054,0,train
real_00055,0,train
real_00056,0,train
real_00060,0,test
real_00061,0,train
real_00063,0,test
real_00064,0,train
real_00065,0,train
real_00067,0,train
real_00068,0,train
real_00069,0,train
real_00070,0,test
real_00072,0,train
real_00073,0,train
real_00074,0,train
real_00075,0,train
real_00076,0,test
real_00077,0,train
real_00078,0,train
real_00079,0,train
real_00080,0,train
real_00081,0,train
real_00082,0,test
real_00083,0,train
real_00084,0,test
real_00085,0,train
real_00086,0,train
real_00087,0,train
real_00088,0,train
real_00089,0,train
real_00091,0,train
real_00092,0,test
real_00093,0,train
real_00094,0,train
real_00095,0,train
real_00096,0,train
real_00097,0,test
real_00099,0,train
real_00100,0,train
real_00101,0,test
real_00102,0,train
real_00103,0,train
real_00104,0,train
real_00105,0,train
real_00106,0,train
real_00107,0,train
real_00108,0,train
real_00109,0,train
real_00110,0,train
real_00111,0,train
real_00112,0,train
real_00113,0,train
real_00114,0,train
real_00115,0,train
real_00117,0,test
real_00118,0,train
real_00119,0,train
real_00121,0,train
real_00122,0,train
real_00124,0,train
real_00125,0,train
real_00126,0,train
real_00127,0,train
real_00128,0,train
real_00130,0,train
real_00131,0,train
real_00132,0,train
real_00133,0,train
real_00134,0,test
real_00135,0,train
real_00136,0,train
real_00137,0,train
real_00138,0,train
real_00139,0,train
real_00141,0,test
real_00142,0,train
real_00143,0,train
real_00144,0,train
real_00145,0,train
real_00146,0,train
real_00147,0,train
real_00149,0,train
real_00151,0,test
real_00152,0,train
real_00153,0,test
real_00154,0,train
real_00155,0,train
real_00156,0,test
real_00158,0,train
real_00159,0,test
real_00160,0,test
real_00161,0,train
real_00162,0,train
real_00163,0,train
real_00165,0,train
real_00166,0,train
real_00167,0,train
real_00168,0,train
real_00169,0,train
real_00170,0,train
real_00171,0,train
real_00172,0,train
real_00173,0,train
real_00174,0,test
real_00175,0,train
real_00177,0,train
real_00178,0,train
real_00181,0,train
real_00182,0,train
real_00183,0,train
real_00184,0,train
real_00185,0,train
real_00188,0,train
real_00189,0,test
real_00191,0,test
real_00192,0,test
real_00193,0,train
real_00194,0,train
real_00195,0,train
real_00196,0,train
real_00197,0,train
real_00200,0,train
real_00201,0,train
real_00202,0,train
real_00203,0,train
real_00204,0,train
real_00205,0,train
real_00206,0,train
real_00207,0,test
real_00208,0,train
real_00209,0,train
real_00210,0,train
real_00211,0,test
real_00212,0,train
real_00213,0,train
real_00214,0,train
real_00215,0,train
real_00217,0,valid
real_00218,0,train
real_00219,0,test
real_00220,0,train
real_00221,0,train
real_00223,0,train
real_00224,0,test
real_00225,0,train
real_00226,0,train
real_00227,0,train
real_00229,0,test
real_00230,0,train
real_00231,0,train
real_00232,0,test
real_00235,0,train
real_00236,0,train
real_00237,0,test
real_00239,0,train
real_00240,0,valid
real_00241,0,train
real_00242,0,test
real_00243,0,train
real_00244,0,train
real_00246,0,test
real_00247,0,train
real_00248,0,train
real_00250,0,test
real_00251,0,train
real_00252,0,train
real_00254,0,train
real_00255,0,train
real_00256,0,train
real_00257,0,valid
real_00259,0,train
real_00260,0,train
real_00261,0,train
real_00262,0,train
real_00263,0,valid
real_00264,0,train
real_00265,0,train
real_00266,0,train
real_00267,0,train
real_00268,0,train
real_00269,0,train
real_00270,0,train
real_00271,0,train
real_00272,0,train
real_00273,0,train
real_00274,0,train
real_00275,0,train
real_00276,0,train
real_00278,0,train
real_00279,0,train
real_00280,0,train
real_00281,0,train
real_00282,0,train
real_00283,0,test
real_00284,0,train
real_00285,0,test
real_00286,0,train
real_00287,0,train
real_00289,0,train
real_00290,0,train
real_00291,0,train
real_00292,0,train
real_00293,0,train
real_00294,0,valid
real_00296,0,train
real_00297,0,test
real_00299,0,train
real_00300,0,test
real_00301,0,train
real_00303,0,train
real_00304,0,train
real_00305,0,train
real_00306,0,train
real_00307,0,train
real_00308,0,train
real_00309,0,train
real_00310,0,test
real_00311,0,test
real_00312,0,train
real_00313,0,train
real_00314,0,test
real_00315,0,train
real_00316,0,train
real_00317,0,train
real_00318,0,train
real_00319,0,test
real_00320,0,train
real_00322,0,train
real_00324,0,train
real_00325,0,train
real_00326,0,train
real_00327,0,train
real_00328,0,train
real_00331,0,valid
real_00333,0,train
real_00334,0,train
real_00335,0,train
real_00338,0,train
real_00339,0,train
real_00340,0,test
real_00341,0,train
real_00342,0,train
real_00343,0,train
real_00344,0,train
real_00345,0,train
real_00346,0,train
real_00347,0,train
real_00348,0,train
real_00349,0,train
real_00350,0,train
real_00353,0,train
real_00355,0,train
real_00356,0,train
real_00357,0,train
real_00358,0,test
real_00359,0,train
real_00360,0,train
real_00361,0,train
real_00362,0,train
real_00363,0,valid
real_00364,0,train
real_00366,0,train
real_00368,0,train
real_00369,0,train
real_00370,0,train
real_00371,0,train
real_00372,0,train
real_00373,0,train
real_00374,0,test
real_00375,0,train
real_00376,0,test
real_00377,0,train
real_00378,0,train
real_00379,0,test
real_00381,0,train
real_00382,0,test
real_00383,0,train
real_00385,0,test
real_00387,0,test
real_00388,0,train
real_00389,0,train
real_00390,0,train
real_00391,0,train
real_00392,0,train
real_00393,0,train
real_00396,0,train
real_00397,0,train
real_00398,0,test
real_00400,0,test
real_00401,0,train
real_00402,0,train
real_00404,0,test
real_00405,0,test
real_00406,0,train
real_00407,0,train
real_00408,0,train
real_00409,0,train
real_00410,0,train
real_00411,0,train
real_00412,0,train
real_00413,0,train
real_00414,0,test
real_00415,0,test
real_00416,0,test
real_00417,0,train
real_00418,0,train
real_00419,0,train
real_00420,0,train
real_00421,0,train
real_00422,0,train
real_00423,0,train
real_00425,0,train
real_00426,0,test
real_00427,0,test
real_00428,0,train
real_00431,0,train
real_00432,0,test
real_00433,0,train
real_00436,0,train
real_00437,0,train
real_00438,0,test
real_00439,0,train
real_00441,0,train
real_00442,0,train
real_00443,0,test
real_00444,0,train
real_00445,0,train
real_00446,0,train
real_00448,0,test
real_00449,0,train
real_00450,0,train
real_00451,0,test
real_00453,0,train
real_00454,0,train
real_00455,0,train
real_00456,0,test
real_00457,0,train
real_00458,0,train
real_00460,0,train
real_00462,0,test
real_00464,0,train
real_00465,0,train
real_00466,0,test
real_00467,0,train
real_00468,0,train
real_00469,0,test
real_00470,0,train
real_00471,0,train
real_00472,0,test
real_00473,0,train
real_00474,0,train
real_00475,0,train
real_00477,0,train
real_00478,0,test
real_00479,0,train
real_00480,0,train
real_00481,0,test
real_00482,0,train
real_00484,0,train
real_00485,0,train
real_00486,0,train
real_00487,0,train
real_00488,0,train
real_00489,0,train
real_00490,0,train
real_00491,0,train
real_00493,0,train
real_00494,0,test
real_00495,0,train
real_00496,0,valid
real_00497,0,train
real_00502,0,train
real_00503,0,train
real_00504,0,train
real_00505,0,train
real_00506,0,train
real_00507,0,train
real_00509,0,train
real_00510,0,test
real_00512,0,train
real_00513,0,train
real_00514,0,test
real_00515,0,train
real_00516,0,train
real_00517,0,train
real_00518,0,train
real_00519,0,train
real_00520,0,train
real_00521,0,train
real_00522,0,train
real_00523,0,train
real_00525,0,train
real_00526,0,valid
real_00527,0,train
real_00528,0,valid
real_00529,0,test
real_00531,0,train
real_00533,0,train
real_00534,0,train
real_00536,0,train
real_00537,0,train
real_00538,0,test
real_00539,0,train
real_00540,0,train
real_00541,0,train
real_00542,0,train
real_00543,0,train
real_00544,0,train
